title,price,location,details_url,images,agency,floor,price_per_m2,description,reference_number,is_top_ad,url,photos,is_favorite,contact_info
"продаваДвустаен апартамент,55 м2",93 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5892992/?sid=iidgfw&page=1,"{'count': '7', 'url': 'https://www.imoti.net/web/files/obiavi/5892992/main_image/thumb_280x210_0.jpg?ver=1735053451'}",продава,,,публикувана от :Калиста Естейт,,False,,,,
"продаваДвустаен апартамент,64 м2",140 976EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6010717/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/6010717/main_image/thumb_280x210_main_image_6010717_1.jpg?ver=1735053451'}",продава,,,публикувана от :Титан Пропъртис,,False,,,,
"продаваДвустаен апартамент,64 м2",140 976EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5879021/?sid=iidgfw&page=1,"{'count': '11', 'url': 'https://www.imoti.net/web/files/obiavi/5879021/main_image/thumb_280x210_dvustaen-oborishte-1.jpg?ver=1735053451'}",продава,,,публикувана от :Титан Пропъртис,,False,,,,
"продаваДвустаен апартамент,66 м2",164 450EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909418/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909418/main_image/thumb_280x210_main_image_5909418_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,57 м2",170 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5998018/?sid=iidgfw&page=1,"{'count': '4', 'url': 'https://www.imoti.net/web/files/obiavi/5998018/main_image/thumb_280x210_main_image_5998018_1.jpg?ver=1735053451'}",продава,,,публикувана от :Естейт Фактори,,False,,,,
"продаваДвустаен апартамент,62 м2",173 250EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5808435/?sid=iidgfw&page=1,"{'count': '12', 'url': 'https://www.imoti.net/web/files/obiavi/5808435/main_image/thumb_280x210_main_image_5808435_1.jpg?ver=1735053451'}",продава,,,публикувана от :First Estates,,False,,,,
"продаваДвустаен апартамент,62 м2",173 250EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5886940/?sid=iidgfw&page=1,"{'count': '12', 'url': 'https://www.imoti.net/web/files/obiavi/5886940/main_image/thumb_280x210_main_image_5886940_1.jpg?ver=1735053451'}",продава,,,публикувана от :First Estates,,False,,,,
"продаваДвустаен апартамент,62 м2",173 250EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909986/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909986/main_image/thumb_280x210_main_image_5909986_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,65 м2",179 025EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5847979/?sid=iidgfw&page=1,"{'count': '6', 'url': 'https://www.imoti.net/web/files/obiavi/5847979/main_image/thumb_280x210_main_image_5847979_1.jpg?ver=1735053451'}",продава,,,публикувана от :ERA Младост,,False,,,,
"продаваДвустаен апартамент,65 м2",179 025EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909983/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909983/main_image/thumb_280x210_main_image_5909983_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,61 м2",179 025EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909987/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909987/main_image/thumb_280x210_main_image_5909987_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,107 м2",180 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5984926/?sid=iidgfw&page=1,"{'count': '5', 'url': 'https://www.imoti.net/web/files/obiavi/5984926/main_image/thumb_280x210_1.jpg?ver=1735053451'}",продава,,,публикувана от :iHOME REAL ESTATE,,False,,,,
"продаваДвустаен апартамент,72 м2",185 400EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5909787/?sid=iidgfw&page=1,"{'count': '9', 'url': 'https://www.imoti.net/web/files/obiavi/5909787/main_image/thumb_280x210_main_image_5909787_1.jpg?ver=1735053451'}",продава,,,публикувана от :Явлена София,,False,,,,
"продаваДвустаен апартамент,64 м2",195 428EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5719192/?sid=iidgfw&page=1,"{'count': '14', 'url': 'https://www.imoti.net/web/files/obiavi/5719192/main_image/thumb_280x210_main_image_5719192_1.jpg?ver=1735053451'}",продава,,,публикувана от :Luximmo Finest Estates,,False,,,,
"продаваДвустаен апартамент,65 м2",195 428EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5974490/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/5974490/main_image/thumb_280x210_main_image_5974490_1.jpg?ver=1735053451'}",продава,,,публикувана от :iHOME REAL ESTATE,,False,,,,
"продаваДвустаен апартамент,46 м2",200 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5800657/?sid=iidgfw&page=1,"{'count': '19', 'url': 'https://www.imoti.net/web/files/obiavi/5800657/main_image/thumb_280x210_main_image_5800657_1.jpg?ver=1735053451'}",продава,,,публикувана от :Асенов Имоти,,False,,,,
"продаваДвустаен апартамент,66 м2",201 595EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5964705/?sid=iidgfw&page=1,"{'count': '9', 'url': 'https://www.imoti.net/web/files/obiavi/5964705/main_image/thumb_280x210_main_image_5964705_1.jpg?ver=1735053451'}",продава,,,публикувана от :iHOME REAL ESTATE,,False,,,,
"продаваДвустаен апартамент,74 м2",215 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5972823/?sid=iidgfw&page=1,"{'count': '18', 'url': 'https://www.imoti.net/web/files/obiavi/5972823/main_image/thumb_280x210_main_image_5972823_1.jpg?ver=1735053451'}",продава,,,публикувана от :Home Life Point Realty,,False,,,,
"продаваДвустаен апартамент,65 м2",219 450EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5776463/?sid=iidgfw&page=1,"{'count': '7', 'url': 'https://www.imoti.net/web/files/obiavi/5776463/main_image/thumb_280x210_main_image_5776463_1.jpg?ver=1735053451'}",продава,,,публикувана от :ERA Младост,,False,,,,
"продаваДвустаен апартамент,78 м2",226 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5920205/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/5920205/main_image/thumb_280x210_main_image_5920205_1.jpg?ver=1735053451'}",продава,,,публикувана от :ХОУМЛАЙТ,,False,,,,
"продаваДвустаен апартамент,64 м2",228 690EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5814527/?sid=iidgfw&page=1,"{'count': '9', 'url': 'https://www.imoti.net/web/files/obiavi/5814527/main_image/thumb_280x210_2.jpg?ver=1735053451'}",продава,,,публикувана от :Бг Брокер,,False,,,,
"продаваДвустаен апартамент,87 м2",231 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5847975/?sid=iidgfw&page=1,"{'count': '5', 'url': 'https://www.imoti.net/web/files/obiavi/5847975/main_image/thumb_280x210_main_image_5847975_1.jpg?ver=1735053451'}",продава,,,публикувана от :ERA Младост,,False,,,,
"продаваДвустаен апартамент,63 м2",234 514EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6011697/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/6011697/main_image/thumb_280x210_main_image_6011697_1.jpg?ver=1735053451'}",продава,,,публикувана от :АДРЕС Недвижими имоти АД,,False,,,,
"продаваДвустаен апартамент,61 м2",241 914EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6004584/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/6004584/main_image/thumb_280x210_main_image_6004584_1.jpg?ver=1735053451'}",продава,,,публикувана от :АДРЕС Недвижими имоти АД,,False,,,,
"продаваДвустаен апартамент,87 м2",242 550EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909984/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909984/main_image/thumb_280x210_main_image_5909984_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,71 м2",248 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5979861/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/5979861/main_image/thumb_280x210_main_image_5979861_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,87 м2",248 325EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909985/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909985/main_image/thumb_280x210_main_image_5909985_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,61 м2",254 900EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5958487/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/5958487/main_image/thumb_280x210_main_image_5958487_1.jpg?ver=1735053451'}",продава,,,публикувана от :First Estates,,False,,,,
"продаваДвустаен апартамент,68 м2",258 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5926812/?sid=iidgfw&page=1,"{'count': '6', 'url': 'https://www.imoti.net/web/files/obiavi/5926812/main_image/thumb_280x210_main_image_5926812_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,124 м2",272 800EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5999504/?sid=iidgfw&page=1,"{'count': '20', 'url': 'https://www.imoti.net/web/files/obiavi/5999504/main_image/thumb_280x210_main_image_5999504_1.jpg?ver=1735053451'}",продава,,,публикувана от :BULGARIAN PROPERTIES,Sfb 86124Тел: 0882 817...,False,,,,
"продаваДвустаен апартамент,55 м2",93 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5892992/?sid=iidgfw&page=1,"{'count': '7', 'url': 'https://www.imoti.net/web/files/obiavi/5892992/main_image/thumb_280x210_0.jpg?ver=1735053453'}",продава,,,публикувана от :Калиста Естейт,,False,,,,
"продаваДвустаен апартамент,64 м2",140 976EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6010717/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/6010717/main_image/thumb_280x210_main_image_6010717_1.jpg?ver=1735053453'}",продава,,,публикувана от :Титан Пропъртис,,False,,,,
"продаваДвустаен апартамент,64 м2",140 976EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5879021/?sid=iidgfw&page=1,"{'count': '11', 'url': 'https://www.imoti.net/web/files/obiavi/5879021/main_image/thumb_280x210_dvustaen-oborishte-1.jpg?ver=1735053453'}",продава,,,публикувана от :Титан Пропъртис,,False,,,,
"продаваДвустаен апартамент,66 м2",164 450EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909418/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909418/main_image/thumb_280x210_main_image_5909418_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,57 м2",170 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5998018/?sid=iidgfw&page=1,"{'count': '4', 'url': 'https://www.imoti.net/web/files/obiavi/5998018/main_image/thumb_280x210_main_image_5998018_1.jpg?ver=1735053453'}",продава,,,публикувана от :Естейт Фактори,,False,,,,
"продаваДвустаен апартамент,62 м2",173 250EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5808435/?sid=iidgfw&page=1,"{'count': '12', 'url': 'https://www.imoti.net/web/files/obiavi/5808435/main_image/thumb_280x210_main_image_5808435_1.jpg?ver=1735053453'}",продава,,,публикувана от :First Estates,,False,,,,
"продаваДвустаен апартамент,62 м2",173 250EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5886940/?sid=iidgfw&page=1,"{'count': '12', 'url': 'https://www.imoti.net/web/files/obiavi/5886940/main_image/thumb_280x210_main_image_5886940_1.jpg?ver=1735053453'}",продава,,,публикувана от :First Estates,,False,,,,
"продаваДвустаен апартамент,62 м2",173 250EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909986/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909986/main_image/thumb_280x210_main_image_5909986_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,65 м2",179 025EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5847979/?sid=iidgfw&page=1,"{'count': '6', 'url': 'https://www.imoti.net/web/files/obiavi/5847979/main_image/thumb_280x210_main_image_5847979_1.jpg?ver=1735053453'}",продава,,,публикувана от :ERA Младост,,False,,,,
"продаваДвустаен апартамент,65 м2",179 025EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909983/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909983/main_image/thumb_280x210_main_image_5909983_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,61 м2",179 025EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909987/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909987/main_image/thumb_280x210_main_image_5909987_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,107 м2",180 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5984926/?sid=iidgfw&page=1,"{'count': '5', 'url': 'https://www.imoti.net/web/files/obiavi/5984926/main_image/thumb_280x210_1.jpg?ver=1735053453'}",продава,,,публикувана от :iHOME REAL ESTATE,,False,,,,
"продаваДвустаен апартамент,72 м2",185 400EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5909787/?sid=iidgfw&page=1,"{'count': '9', 'url': 'https://www.imoti.net/web/files/obiavi/5909787/main_image/thumb_280x210_main_image_5909787_1.jpg?ver=1735053453'}",продава,,,публикувана от :Явлена София,,False,,,,
"продаваДвустаен апартамент,64 м2",195 428EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5719192/?sid=iidgfw&page=1,"{'count': '14', 'url': 'https://www.imoti.net/web/files/obiavi/5719192/main_image/thumb_280x210_main_image_5719192_1.jpg?ver=1735053453'}",продава,,,публикувана от :Luximmo Finest Estates,,False,,,,
"продаваДвустаен апартамент,65 м2",195 428EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5974490/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/5974490/main_image/thumb_280x210_main_image_5974490_1.jpg?ver=1735053453'}",продава,,,публикувана от :iHOME REAL ESTATE,,False,,,,
"продаваДвустаен апартамент,46 м2",200 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5800657/?sid=iidgfw&page=1,"{'count': '19', 'url': 'https://www.imoti.net/web/files/obiavi/5800657/main_image/thumb_280x210_main_image_5800657_1.jpg?ver=1735053453'}",продава,,,публикувана от :Асенов Имоти,,False,,,,
"продаваДвустаен апартамент,66 м2",201 595EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5964705/?sid=iidgfw&page=1,"{'count': '9', 'url': 'https://www.imoti.net/web/files/obiavi/5964705/main_image/thumb_280x210_main_image_5964705_1.jpg?ver=1735053453'}",продава,,,публикувана от :iHOME REAL ESTATE,,False,,,,
"продаваДвустаен апартамент,74 м2",215 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5972823/?sid=iidgfw&page=1,"{'count': '18', 'url': 'https://www.imoti.net/web/files/obiavi/5972823/main_image/thumb_280x210_main_image_5972823_1.jpg?ver=1735053453'}",продава,,,публикувана от :Home Life Point Realty,,False,,,,
"продаваДвустаен апартамент,65 м2",219 450EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5776463/?sid=iidgfw&page=1,"{'count': '7', 'url': 'https://www.imoti.net/web/files/obiavi/5776463/main_image/thumb_280x210_main_image_5776463_1.jpg?ver=1735053453'}",продава,,,публикувана от :ERA Младост,,False,,,,
"продаваДвустаен апартамент,78 м2",226 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5920205/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/5920205/main_image/thumb_280x210_main_image_5920205_1.jpg?ver=1735053453'}",продава,,,публикувана от :ХОУМЛАЙТ,,False,,,,
"продаваДвустаен апартамент,64 м2",228 690EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5814527/?sid=iidgfw&page=1,"{'count': '9', 'url': 'https://www.imoti.net/web/files/obiavi/5814527/main_image/thumb_280x210_2.jpg?ver=1735053453'}",продава,,,публикувана от :Бг Брокер,,False,,,,
"продаваДвустаен апартамент,87 м2",231 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5847975/?sid=iidgfw&page=1,"{'count': '5', 'url': 'https://www.imoti.net/web/files/obiavi/5847975/main_image/thumb_280x210_main_image_5847975_1.jpg?ver=1735053453'}",продава,,,публикувана от :ERA Младост,,False,,,,
"продаваДвустаен апартамент,63 м2",234 514EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6011697/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/6011697/main_image/thumb_280x210_main_image_6011697_1.jpg?ver=1735053453'}",продава,,,публикувана от :АДРЕС Недвижими имоти АД,,False,,,,
"продаваДвустаен апартамент,61 м2",241 914EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6004584/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/6004584/main_image/thumb_280x210_main_image_6004584_1.jpg?ver=1735053453'}",продава,,,публикувана от :АДРЕС Недвижими имоти АД,,False,,,,
"продаваДвустаен апартамент,87 м2",242 550EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909984/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909984/main_image/thumb_280x210_main_image_5909984_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,71 м2",248 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5979861/?sid=iidgfw&page=1,"{'count': '8', 'url': 'https://www.imoti.net/web/files/obiavi/5979861/main_image/thumb_280x210_main_image_5979861_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,87 м2",248 325EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909985/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909985/main_image/thumb_280x210_main_image_5909985_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,61 м2",254 900EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5958487/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/5958487/main_image/thumb_280x210_main_image_5958487_1.jpg?ver=1735053453'}",продава,,,публикувана от :First Estates,,False,,,,
"продаваДвустаен апартамент,68 м2",258 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5926812/?sid=iidgfw&page=1,"{'count': '6', 'url': 'https://www.imoti.net/web/files/obiavi/5926812/main_image/thumb_280x210_main_image_5926812_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,124 м2",272 800EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5999504/?sid=iidgfw&page=1,"{'count': '20', 'url': 'https://www.imoti.net/web/files/obiavi/5999504/main_image/thumb_280x210_main_image_5999504_1.jpg?ver=1735053453'}",продава,,,публикувана от :BULGARIAN PROPERTIES,Sfb 86124Тел: 0882 817...,False,,,,
