site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-109946-mnogostaen-apartament-za-prodajba-v-rezidentsiya-berlin-park-boyana/,502020.0,EUR,2000.0,София,Бояна,продава,многостаен,251.01,,продава Многостаен апартамент,,Suprimmo,,3,SOF 109946,2026-02-03 17:09:23.865623,1479,0029f3f9817f947802a68d9a6002b541
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-130883-dizaynerski-apartament-s-tri-spalni-na-ezero-pancharevo/,1950000.0,EUR,4401.81,Панчарево,"Софийска Област, България",продава,четиристаен,443.0,,продава Четиристаен апартамент,,Suprimmo,,3,STO-130883,2026-02-03 17:09:23.865623,1479,a95eb1a7b894cb01e15e68ff31c55407
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-132154-yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-rayon/,185000.0,EUR,2500.0,София,Сухата река,продава,двустаен,74.0,,продава Двустаен апартамент,,Suprimmo,,3,STO-132154,2026-02-03 17:09:23.865623,1479,c43c857a05ee8636468de8ba573b79c7
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-132801-poluobzaveden-tristaen-apartament-na-metri-ot-yujen-park/,480000.0,EUR,4329.0,София,Лозенец,продава,тристаен,110.88,,продава Тристаен апартамент,,Suprimmo,,3,SOF-132801,2026-02-03 17:09:23.865623,1479,2dacaeaae0b20e021397c5b140b2905c
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-129729-nov-zapaden-tristaen-apartament-v-gloria-palace-residence/,367260.0,EUR,3000.0,София,Горна баня,продава,тристаен,122.42,,продава Тристаен апартамент,,Suprimmo,,3,SOF-129729,2026-02-03 17:09:23.865623,1479,1db11d4f5a8ce17eb83707cb7fb0b29a
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-128088-tristaen-apartament-s-frontalna-gledka-kam-pancharevskoto-ezero/,1200000.0,EUR,4000.0,Панчарево,"Софийска Област, България",продава,тристаен,300.0,,продава Тристаен апартамент,,Suprimmo,,3,STO-128088,2026-02-03 17:09:23.865623,1479,d8e3c088d215158007110387872a73c0
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-126389-dvustaen-apartament-v-nova-sgrada-sas-spa-i-fitnes/,253000.0,EUR,2510.92,София,Драгалевци,продава,двустаен,100.76,,продава Двустаен апартамент,,Suprimmo,,3,SOF-126389,2026-02-03 17:09:23.865623,1479,b945e38217cd1a2ad4a2e660b2692d19
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-133172-tristaen-apartament-v-luksozna-sgrada-do-borova-gora-v-pancharevo/,247468.0,EUR,2600.0,Панчарево,"Софийска Област, България",продава,тристаен,95.18,,продава Тристаен апартамент(В процес на строителство),,Suprimmo,,3,STO-133172,2026-02-03 17:09:23.865623,1479,628924ada515117d6b768f9100142d72
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-132787-dvustaen-apartament-novo-stroitelstvo-blizo-do-gloria-palace/,160240.0,EUR,2150.01,София,Горна баня,продава,двустаен,74.53,,продава Двустаен апартамент(В процес на строителство),,Suprimmo,,3,SOF-132787,2026-02-03 17:09:23.865623,1479,b685cb44f564c1378f2f40e55deead75
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-100962-prostoren-tristaen-apartament-za-prodajba-v-luksozna-sgrada/,702702.0,EUR,3000.05,София,Манастирски ливади,продава,тристаен,234.23,,продава Тристаен апартамент,,Suprimmo,,3,AP 100962,2026-02-03 17:09:23.865623,1479,91cdd527a32d5165b422f09177b7ea15
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-101958-kashta-v-zatvoren-kompleks-na-ul-leshnikova-gora/,835120.0,EUR,2200.0,София,Драгалевци,продава,къща,379.6,,продава Къща,,Suprimmo,,3,Sve-101958,2026-02-03 17:09:23.865623,1479,7d5a6db9a909c298c29820e3476acef4
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-126380-tristaen-apartament-v-nova-sgrada-sas-spa-i-fitnes-v-kv-dragalevtsi/,385000.0,EUR,2493.04,София,Драгалевци,продава,тристаен,154.43,,продава Тристаен апартамент,,Suprimmo,,3,SOF-126380,2026-02-03 17:09:23.865623,1479,5ab1e2410999541d9392c57b30664564
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-125697-dvustaen-apartament-v-moderen-zatvoren-kompleks/,181666.0,EUR,2872.64,София,Манастирски ливади,продава,двустаен,63.24,,продава Двустаен апартамент(В процес на строителство),,Suprimmo,,3,SOF 125697,2026-02-03 17:09:23.865623,1479,0c3776131a1d850c3eb70049204a5619
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-125701-nov-tristaen-apartament-v-zatvoren-kompleks-v-kv-manastirski-livadi--iztok/,241971.0,EUR,2679.93,София,Манастирски ливади,продава,тристаен,90.29,,продава Тристаен апартамент(В процес на строителство),,Suprimmo,,3,SOF 125701,2026-02-03 17:09:23.865623,1479,0c04e0be3b6dc83283ab1df9486addd7
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-104767-tristaen-apartament-v-sgrada-novo-stroitelstvo-do-bul-balgariya/,379100.0,EUR,3400.0,София,Манастирски ливади,продава,тристаен,111.5,,продава Тристаен апартамент,,Suprimmo,,3,STO-104767,2026-02-03 17:09:23.865623,1479,f359ab1ccf39dbc0d620b4e0b51fdcac
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-125429-dvustaen-apartament-s-veranda-v-nov-kompleks-v-kv-manastirski-livadi--iztok/,221676.0,EUR,3360.25,София,Манастирски ливади,продава,двустаен,65.97,,продава Двустаен апартамент(В процес на строителство),,Suprimmo,,3,SOF 125429,2026-02-03 17:09:23.865623,1479,8504226b2f45f97d2df8d54292cfbaf2
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-133173-yujen-apartament-v-luksozna-sgrada-do-ezeroto-v-pancharevo/,251875.0,EUR,2500.0,Панчарево,"Софийска Област, България",продава,тристаен,100.75,,продава Тристаен апартамент(В процес на строителство),,Suprimmo,,3,STO-133173,2026-02-03 17:09:23.865623,1479,4525dfd96f8c1754fd7d0662df931cd9
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-129198-dvustaen-apartament-56-v-okinawa-boutique-residence/,183333.0,EUR,2366.5,София,Малинова долина,продава,двустаен,77.47,,продава Двустаен апартамент,,Suprimmo,,3,SOF-129198,2026-02-03 17:09:23.865623,1479,a167e9d1f6b59bafa9f004d63706d73f
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-127867-tristaen-apartament-v-okinawa-boutique-residence-v-kv-malinova-dolina/,343000.0,EUR,2522.06,София,Малинова долина,продава,тристаен,136.0,,продава Тристаен апартамент,,Suprimmo,,3,SOF-127867,2026-02-03 17:09:23.865623,1479,8bca453e1f5063d1fc565ff2b0a92474
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-123965-tristaen-apartament-73-s-gledka-kam-vitosha-v-okinawa-boutique/,285000.0,EUR,2449.72,София,Малинова долина,продава,тристаен,116.34,,продава Тристаен апартамент,,Suprimmo,,3,SOF-123965,2026-02-03 17:09:23.865623,1479,ad3317be93787feef14b7587a0b3111e
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-98244-ekskluziven-apartament-s-gradinska-terasa-i-gledka-kam-planina-vitosha/,300000.0,EUR,3141.36,София,Малинова долина,продава,тристаен,95.5,,продава Тристаен апартамент,,Suprimmo,,3,STO-98244,2026-02-03 17:09:23.865623,1479,7f72b4227f9fa9cfbbcbdde0f0186ab0
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-135370-ednostaen-apartament-v-moderen-kompleks-do-simeonovsko-shose/,119049.0,EUR,2160.6,София,Малинова долина,продава,едностаен,55.1,,продава Едностаен апартамент(В процес на строителство),,Suprimmo,,3,STO-135370,2026-02-03 17:09:23.865623,1479,433e883bbbc44652fcb3f490726153a1
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-134911-yujen-dvustaen-apartament-v-ekskluziven-kompleks-s-park--synerga/,212261.0,EUR,2599.96,София,Младост 3,продава,двустаен,81.64,,продава Двустаен апартамент(В процес на строителство),,Suprimmo,,3,SOF-134911,2026-02-03 17:09:23.865623,1479,700cc1385c0ba1acd9e7cfb4a582ea62
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-134012-mezonet-s-golyama-panoramna-terasa-s-gledka-kam-tsyala-sofiya-do-bul-slivnitsa/,420000.0,EUR,1867.66,София,Банишора,продава,мезонет,224.88,,продава Мезонет,,Suprimmo,,3,SOF-134012,2026-02-03 17:09:23.865623,1479,70f8bc0fce1a0913d55a3b15574364b6
